Gazprom,,https://careers.gazprom.ru,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,MOEX,https://www.gazprom.com
Nizhny Novgorod City Administration,,https://trudvsem.ru,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Russia,MUNI,https://admgor.nnov.ru
Russian Red Cross,,https://www.redcross.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,NGO,https://www.redcross.ru
Russian Geographical Society,,https://www.rgo.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,NGO,https://www.rgo.ru
Podari Zhizn Foundation,,https://podari-zhizn.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,NGO,https://podari-zhizn.ru
Dobro Mail.ru Charity,,https://dobro.mail.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,NGO,https://dobro.mail.ru
Russian Union of Industrialists and Entrepreneurs,,https://rspp.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,NGO,https://rspp.ru
Kaspersky,,https://careers.kaspersky.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,PRIVATE,https://www.kaspersky.com
X5 Group,,https://www.x5.ru/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,PRIVATE,https://www.x5.ru
Wildberries,,https://career.wb.ru,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,PRIVATE,https://www.wildberries.ru
Ozon,,https://job.ozon.ru,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,PRIVATE,https://www.ozon.ru
Severstal,,https://www.severstal.com/eng/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,PRIVATE,https://www.severstal.com
Lomonosov Moscow State University,,https://www.msu.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,UNI,https://www.msu.ru
Saint Petersburg State University,,https://spbu.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,UNI,https://spbu.ru
HSE University,,https://www.hse.ru/en/vacancies,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Russia,UNI,https://www.hse.ru
Bauman Moscow State Technical University,,https://bmstu.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,UNI,https://bmstu.ru
Novosibirsk State University,,https://www.nsu.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,UNI,https://www.nsu.ru
WorldSkills Russia,,https://worldskills.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,COLLEGE,https://worldskills.ru
Ministry of Science and Higher Education of Russia,,https://minobrnauki.gov.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,COLLEGE,https://minobrnauki.gov.ru
National Agency for Skills Development (NARK),,https://nark.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,SETA,https://nark.ru
Agency for Strategic Initiatives (ASI),,https://asi.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,SETA,https://asi.ru
Sechenov University Clinics,,https://www.sechenov.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,HOSPITAL,https://www.sechenov.ru
Pirogov Russian National Research Medical University,,https://rsmu.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,HOSPITAL,https://rsmu.ru
Almazov National Medical Research Centre,,https://almazovcentre.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,HOSPITAL,https://almazovcentre.ru
Burdenko Neurosurgery Center,,https://www.nsi.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,HOSPITAL,https://www.nsi.ru
Moscow City Clinical Hospital No. 1 (Pirogov),,https://gkb1.ru,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Russia,HOSPITAL,https://gkb1.ru
