Reliance Industries,,https://www.ril.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NSE,https://www.ril.com
Ministry of Finance (India),,https://www.ncs.gov.in,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,India,DEPT,https://finmin.nic.in
Ministry of Health and Family Welfare,,https://www.ncs.gov.in,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,India,DEPT,https://mohfw.gov.in
Employment News (Government of India),,https://www.employmentnews.gov.in,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,DEPT,https://www.employmentnews.gov.in
Municipal Corporation of Greater Mumbai,,https://portal.mcgm.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,MUNI,https://portal.mcgm.gov.in
Municipal Corporation of Delhi,,https://mcdonline.nic.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,MUNI,https://mcdonline.nic.in
Greater Chennai Corporation,,https://chennaicorporation.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,MUNI,https://chennaicorporation.gov.in
Bruhat Bengaluru Mahanagara Palike (BBMP),,https://bbmp.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,MUNI,https://bbmp.gov.in
Greater Hyderabad Municipal Corporation,,https://www.ghmc.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,MUNI,https://www.ghmc.gov.in
Tata Trusts,,https://www.tatatrusts.org,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,NGO,https://www.tatatrusts.org
Akshaya Patra Foundation,,https://www.akshayapatra.org/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NGO,https://www.akshayapatra.org
Teach For India,,https://www.teachforindia.org/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,NGO,https://www.teachforindia.org
Pratham,,https://www.pratham.org,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,NGO,https://www.pratham.org
SEWA (Self Employed Women's Association),,https://www.sewa.org,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,NGO,https://www.sewa.org
Wipro,,https://careers.wipro.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,PRIVATE,https://www.wipro.com
Mahindra Group,,https://www.mahindra.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,PRIVATE,https://www.mahindra.com
Adani Group,,https://www.adani.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,PRIVATE,https://www.adani.com
Flipkart,,https://www.flipkartcareers.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,PRIVATE,https://www.flipkart.com
Aditya Birla Group,,https://www.adityabirla.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,PRIVATE,https://www.adityabirla.com
Indian Institute of Technology Bombay,,https://www.iitb.ac.in/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,India,UNI,https://www.iitb.ac.in
Indian Institute of Technology Delhi,,https://home.iitd.ac.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,UNI,https://home.iitd.ac.in
Indian Institute of Science,,https://iisc.ac.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,UNI,https://iisc.ac.in
University of Delhi,,https://www.du.ac.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,UNI,https://www.du.ac.in
Jawaharlal Nehru University,,https://www.jnu.ac.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,UNI,https://www.jnu.ac.in
Directorate General of Training (DGT),,https://dgt.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,COLLEGE,https://dgt.gov.in
AICTE,,https://www.aicte-india.org,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,COLLEGE,https://www.aicte-india.org
NIELIT,,https://www.nielit.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,COLLEGE,https://www.nielit.gov.in
Government Polytechnic Mumbai,,https://gpmumbai.ac.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,COLLEGE,https://gpmumbai.ac.in
St. Stephen's College Delhi,,https://www.ststephens.edu,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,COLLEGE,https://www.ststephens.edu
National Skill Development Corporation (NSDC),,https://nsdcindia.org,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,SETA,https://nsdcindia.org
Skill India Digital,,https://www.skillindiadigital.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,SETA,https://www.skillindiadigital.gov.in
NASSCOM Sector Skill Council,,https://www.sscnasscom.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,SETA,https://www.sscnasscom.com
Automotive Skills Development Council (ASDC),,https://www.asdc.org.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,SETA,https://www.asdc.org.in
Healthcare Sector Skill Council,,https://www.healthcare-ssc.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,SETA,https://www.healthcare-ssc.in
AIIMS New Delhi,,https://www.aiims.edu,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,HOSPITAL,https://www.aiims.edu
Apollo Hospitals,,https://www.apollohospitals.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,HOSPITAL,https://www.apollohospitals.com
Fortis Healthcare,,https://www.fortishealthcare.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,HOSPITAL,https://www.fortishealthcare.com
Tata Memorial Centre,,https://tmc.gov.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,HOSPITAL,https://tmc.gov.in
PGIMER Chandigarh,,https://pgimer.edu.in,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,India,HOSPITAL,https://pgimer.edu.in
