Petrobras,,https://carreiras.petrobras.com.br,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,B3,https://petrobras.com.br
Federal Revenue Service (Receita Federal),,https://www.in.gov.br,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,Brazil,DEPT,https://www.gov.br/receitafederal/pt-br
Prefeitura de São Paulo,,https://prefeitura.sp.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,MUNI,https://prefeitura.sp.gov.br
Prefeitura do Rio de Janeiro,,https://prefeitura.rio,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,MUNI,https://prefeitura.rio
Prefeitura de Belo Horizonte,,https://prefeitura.pbh.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,MUNI,https://prefeitura.pbh.gov.br
Prefeitura de Curitiba,,https://www.curitiba.pr.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,MUNI,https://www.curitiba.pr.gov.br
Governo do Distrito Federal (Brasília),,https://www.df.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,MUNI,https://www.df.gov.br
Instituto Ayrton Senna,,https://institutoayrtonsenna.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,NGO,https://institutoayrtonsenna.org.br
Fundação Getulio Vargas (FGV),,https://portal.fgv.br/trabalhe-conosco,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,NGO,https://portal.fgv.br
Médicos Sem Fronteiras Brasil,,https://www.msf.org.br/trabalhe-conosco,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,NGO,https://www.msf.org.br
Fundação Abrinq,,https://www.fadc.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,NGO,https://www.fadc.org.br
GRAACC,,https://www.graacc.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,NGO,https://www.graacc.org.br
Grupo Globo,,https://vagas.globo.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,PRIVATE,https://grupoglobo.globo.com
JBS,,https://jbs.com.br/carreiras,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,PRIVATE,https://jbs.com.br
Embraer,,https://embraer.com/global/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,PRIVATE,https://embraer.com
Natura &Co,,https://www.naturaeco.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,Brazil,PRIVATE,https://www.naturaeco.com
Grupo Pão de Açúcar,,https://www.gpabr.com,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,PRIVATE,https://www.gpabr.com
Universidade de São Paulo (USP),,https://www5.usp.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,UNI,https://www5.usp.br
Universidade Estadual de Campinas (Unicamp),,https://www.unicamp.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,UNI,https://www.unicamp.br
Universidade Federal do Rio de Janeiro (UFRJ),,https://ufrj.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,UNI,https://ufrj.br
Universidade Federal de Minas Gerais (UFMG),,https://ufmg.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,UNI,https://ufmg.br
SENAI (national industrial training network),,https://www.portaldaindustria.com.br/senai,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,COLLEGE,https://www.portaldaindustria.com.br/senai
Instituto Federal de São Paulo (IFSP),,https://www.ifsp.edu.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,COLLEGE,https://www.ifsp.edu.br
Instituto Federal do Rio de Janeiro (IFRJ),,https://portal.ifrj.edu.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,COLLEGE,https://portal.ifrj.edu.br
CEFET-MG,,https://www.cefetmg.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,COLLEGE,https://www.cefetmg.br
Centro Paula Souza (ETEC/FATEC),,https://www.cps.sp.gov.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,COLLEGE,https://www.cps.sp.gov.br
SENAC (national commercial training service),,https://www.senac.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SETA,https://www.senac.br
SENAR (rural training service),,https://www.senar.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SETA,https://www.senar.org.br
SEST SENAT (transport training service),,https://www.sestsenat.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SETA,https://www.sestsenat.org.br
SEBRAE,,https://www.sebrae.com.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SETA,https://www.sebrae.com.br
SESCOOP (cooperatives training service),,https://www.sescoop.coop.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,SETA,https://www.sescoop.coop.br
Hospital das Clínicas FMUSP,,https://www.hc.fm.usp.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,HOSPITAL,https://www.hc.fm.usp.br
Hospital Israelita Albert Einstein,,https://www.einstein.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,HOSPITAL,https://www.einstein.br
Hospital Sírio-Libanês,,https://www.hospitalsiriolibanes.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,HOSPITAL,https://www.hospitalsiriolibanes.org.br
Hospital Moinhos de Vento,,https://www.hospitalmoinhos.org.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,HOSPITAL,https://www.hospitalmoinhos.org.br
Hospital de Clínicas de Porto Alegre,,https://www.hcpa.edu.br,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,Brazil,HOSPITAL,https://www.hcpa.edu.br
